City,Suburb,"Sales
1Q 2014","Median
1Q 2014","Sales
1Q 2015","Median
1Q 2015","Median
Change"
ONKAPARINGA         ,WHITES VALLEY        ,,,,,
ONKAPARINGA         ,WILLUNGA             ,10,443500,10,447500,0.009
ONKAPARINGA         ,WILLUNGA SOUTH       ,,,,,
ONKAPARINGA         ,WOODCROFT            ,40,367000,33,400000,0.0899
PLAYFORD            ,ANDREWS FARM         ,28,254000,32,290000,0.1417
PLAYFORD            ,ANGLE VALE           ,9,445000,7,525000,0.1798
PLAYFORD            ,BIBARINGA            ,,,,,
PLAYFORD            ,BLAKEVIEW            ,24,311750,33,290000,-0.0698
PLAYFORD            ,BUCKLAND PARK        ,,,,,
PLAYFORD            ,CRAIGMORE            ,43,285000,46,274000,-0.0386
PLAYFORD            ,DAVOREN PARK         ,18,187500,17,184950,-0.0136
PLAYFORD            ,EDINBURGH NORTH      ,,,,,
PLAYFORD            ,ELIZABETH            ,2,178000,,,
PLAYFORD            ,ELIZABETH DOWNS      ,19,171000,13,176000,0.0292
PLAYFORD            ,ELIZABETH EAST       ,14,203500,20,213725,0.0502
PLAYFORD            ,ELIZABETH GROVE      ,5,236000,3,239000,0.0127
PLAYFORD            ,ELIZABETH NORTH      ,8,158750,10,167000,0.052
PLAYFORD            ,ELIZABETH PARK       ,12,193500,15,186000,-0.0388
PLAYFORD            ,ELIZABETH SOUTH      ,7,200000,3,155000,-0.225
PLAYFORD            ,ELIZABETH VALE       ,11,224500,14,225000,0.0022
PLAYFORD            ,EVANSTON PARK        ,20,364500,21,330000,-0.0947
PLAYFORD            ,GOULD CREEK          ,,,,,
PLAYFORD            ,HILLBANK             ,15,352500,13,306000,-0.1319
PLAYFORD            ,HILLIER              ,,,,,
PLAYFORD            ,HUMBUG SCRUB         ,,,,,
PLAYFORD            ,MACDONALD PARK       ,,,,,
PLAYFORD            ,MUNNO PARA           ,6,211500,11,280000,0.3239
PLAYFORD            ,MUNNO PARA DOWNS     ,,,,,
PLAYFORD            ,MUNNO PARA WEST      ,19,273000,25,298750,0.0943
PLAYFORD            ,ONE TREE HILL        ,2,570500,1,590350,0.0348
PLAYFORD            ,PENFIELD             ,,,,,
PLAYFORD            ,PENFIELD GARDENS     ,,,,,
PLAYFORD            ,SAMPSON FLAT         ,,,,,
PLAYFORD            ,SMITHFIELD           ,5,238000,7,277500,0.166
PLAYFORD            ,SMITHFIELD PLAINS    ,9,185000,5,216000,0.1676
PLAYFORD            ,ULEYBURY             ,,,,,
PLAYFORD            ,VIRGINIA             ,2,426500,2,480000,0.1254
PLAYFORD            ,WATERLOO CORNER      ,,,,,
PLAYFORD            ,YATTALUNGA           ,,,,,
PORT ADEL ENFIELD   ,ALBERTON             ,3,383000,4,387500,0.0117
PORT ADEL ENFIELD   ,ANGLE PARK           ,2,422500,4,388750,-0.0799
PORT ADEL ENFIELD   ,BIRKENHEAD           ,14,388750,13,372500,-0.0418
PORT ADEL ENFIELD   ,BLAIR ATHOL          ,15,380000,16,400000,0.0526
PORT ADEL ENFIELD   ,BROADVIEW            ,11,465500,19,505000,0.0849
PORT ADEL ENFIELD   ,CLEARVIEW            ,22,350000,27,375000,0.0714
PORT ADEL ENFIELD   ,CROYDON PARK         ,13,388500,3,372500,-0.0412
PORT ADEL ENFIELD   ,DERNANCOURT          ,14,412500,12,427500,0.0364
PORT ADEL ENFIELD   ,DEVON PARK           ,2,475000,2,460000,-0.0316
PORT ADEL ENFIELD   ,DRY CREEK            ,,,,,
PORT ADEL ENFIELD   ,DUDLEY PARK          ,,,,,
PORT ADEL ENFIELD   ,ENFIELD              ,21,350000,17,385000,0.1
PORT ADEL ENFIELD   ,ETHELTON             ,6,357500,6,432500,0.2098
PORT ADEL ENFIELD   ,EXETER               ,5,455000,3,495000,0.0879
PORT ADEL ENFIELD   ,FERRYDEN PARK        ,6,405000,11,438000,0.0815
PORT ADEL ENFIELD   ,GEPPS CROSS          ,1,270000,1,340000,0.2593
PORT ADEL ENFIELD   ,GILLES PLAINS        ,12,329250,12,355000,0.0782
PORT ADEL ENFIELD   ,GILLMAN              ,,,,,
PORT ADEL ENFIELD   ,GLANVILLE            ,1,575000,5,280000,-0.513
PORT ADEL ENFIELD   ,GREENACRES           ,13,393000,18,389000,-0.0102
